,x,y,cluster,type
1,-113.82985,96.667274,0,OK
3,-113.82985,96.667274,0,OK
6,-188.86185,-42.942684,1,OK
19,-183.32796,-50.711628,1,OK
20,-183.32796,-50.711628,1,OK
39,-188.86185,-42.942684,1,OK
41,-178.16095,-58.0824,1,OK
42,-181.77443,-41.761005,1,OK
43,-198.40916,-56.41795,-1,OK
149,-113.82985,96.667274,0,OK
151,-113.82985,96.667274,0,OK
153,-113.82985,96.667274,0,OK
155,-183.32796,-50.711628,1,OK
157,-181.77443,-41.761005,1,OK
159,-183.75822,-59.834213,1,OK
161,-183.32796,-50.711628,1,OK
163,-183.32796,-50.711628,1,OK
165,-175.32845,-46.826614,1,OK
167,-183.32796,-50.711628,1,OK
169,-183.32796,-50.711628,1,OK
171,-192.29831,-49.24925,1,OK
189,-113.82985,96.667274,0,OK
191,-181.77443,-41.761005,1,OK
193,-183.32796,-50.711628,1,OK
195,-192.29831,-49.24925,1,OK
197,-183.32796,-50.711628,1,OK
222,-113.82985,96.667274,0,OK
224,-183.32796,-50.711628,1,OK
226,-175.32845,-46.826614,1,OK
228,-189.73572,-56.97872,1,OK
266,-131.13272,-144.51399,-1,OK
267,-111.68021,-143.626,-1,OK
268,-105.28291,-138.26408,-1,OK
270,-101.65851,-139.52927,-1,OK
271,-105.27671,-143.06006,-1,OK
272,-109.33257,-140.27863,-1,OK
273,-100.51519,-143.50761,-1,OK
278,-41.47169,1.2315643,2,OK
279,-41.47169,1.2315643,2,OK
280,-48.809772,4.212104,2,OK
281,-48.809772,4.212104,2,OK
285,-41.47169,1.2315643,2,OK
286,-41.47169,1.2315643,2,OK
287,-41.47169,1.2315643,2,OK
291,-41.47169,1.2315643,2,OK
292,-127.644165,-17.165339,3,OK
293,-183.32796,-50.711628,1,OK
294,-48.809772,4.212104,2,OK
299,-48.809772,4.212104,2,OK
301,-41.47169,1.2315643,2,OK
302,-41.47169,1.2315643,2,OK
303,-127.644165,-17.165339,3,OK
304,-121.32778,-13.375242,3,OK
305,-189.73572,-56.97872,1,OK
307,-41.47169,1.2315643,2,OK
308,-126.248886,-10.869253,3,OK
309,-183.32796,-50.711628,1,OK
310,-48.809772,4.212104,2,OK
312,-41.47169,1.2315643,2,OK
313,-127.644165,-17.165339,3,OK
314,-183.32796,-50.711628,1,OK
315,-48.809772,4.212104,2,OK
317,-41.47169,1.2315643,2,OK
318,-127.644165,-17.165339,3,OK
319,-183.32796,-50.711628,1,OK
320,-48.809772,4.212104,2,OK
322,-45.881367,-6.5388894,-1,OK
323,-98.77427,-9.681158,4,OK
324,-136.67227,-83.191635,5,OK
325,-50.174747,-4.4793043,-1,OK
327,-132.66833,-13.709383,3,OK
328,-41.47169,1.2315643,2,OK
329,-183.32796,-50.711628,1,OK
347,-57.08797,-23.086433,6,OK
348,-94.99593,-70.77717,7,OK
350,-94.99593,-70.77717,7,OK
351,-57.08797,-23.086433,6,OK
352,-102.996666,-76.891716,8,OK
354,-183.32796,-50.711628,1,OK
355,-41.47169,1.2315643,2,OK
356,-94.99593,-70.77717,7,OK
359,-94.99593,-70.77717,7,OK
360,-57.08797,-23.086433,6,OK
361,-102.996666,-76.891716,8,OK
365,-102.996666,-76.891716,8,OK
366,-57.08797,-23.086433,6,OK
367,-94.99593,-70.77717,7,OK
369,-94.99593,-70.77717,7,OK
370,-57.08797,-23.086433,6,OK
371,-102.996666,-76.891716,8,OK
373,-102.996666,-76.891716,8,OK
374,-94.99593,-70.77717,7,OK
376,-94.99593,-70.77717,7,OK
377,-57.08797,-23.086433,6,OK
378,-102.996666,-76.891716,8,OK
380,-183.32796,-50.711628,1,OK
381,-94.99593,-70.77717,7,OK
383,-94.99593,-70.77717,7,OK
384,-57.08797,-23.086433,6,OK
385,-102.996666,-76.891716,8,OK
387,-127.644165,-17.165339,3,OK
388,-183.32796,-50.711628,1,OK
403,-183.32796,-50.711628,1,OK
404,-183.32796,-50.711628,1,OK
405,-192.29831,-49.24925,1,OK
419,-126.248886,-10.869253,3,OK
423,-13.163322,123.62202,9,OK
424,-7.0953803,-182.79524,10,OK
425,-7.00185,-177.01369,-1,OK
426,-26.596285,-183.07506,-1,OK
427,-28.368757,-187.02306,-1,OK
428,-31.77885,-186.17923,-1,OK
429,-24.702549,-179.1945,-1,OK
431,-63.080105,47.0048,11,OK
432,-30.963636,58.67342,12,OK
434,-48.809772,4.212104,2,OK
436,-59.47867,37.16157,-1,OK
437,-37.327316,54.675957,-1,OK
440,51.48497,-10.5822735,9,OK
442,-63.080105,47.0048,11,OK
443,-37.327316,54.675957,-1,OK
445,-63.080105,47.0048,11,OK
446,-37.327316,54.675957,-1,OK
448,-37.327316,54.675957,-1,OK
450,-68.89025,42.11669,11,OK
451,-37.89418,60.214287,-1,OK
453,-68.89025,42.11669,11,OK
454,-30.963636,58.67342,12,OK
492,-13.163322,123.62202,9,OK
494,-63.080105,47.0048,11,OK
496,-30.963636,58.67342,12,OK
498,-30.963636,58.67342,12,OK
500,-68.89025,42.11669,11,OK
502,-68.89025,42.11669,11,OK
503,-68.89025,42.11669,11,OK
505,-30.963636,58.67342,12,OK
507,-30.963636,58.67342,12,OK
509,-68.89025,42.11669,11,OK
511,-63.080105,47.0048,11,OK
512,-63.080105,47.0048,11,OK
514,-30.963636,58.67342,12,OK
518,-121.82807,-17.984282,3,OK
519,-6.7317567,-193.38336,-1,OK
520,-8.083276,-197.48949,-1,OK
521,-4.3361273,-187.50612,10,OK
522,-4.3361273,-187.50612,10,OK
549,-108.26564,-122.24398,-1,OK
550,-105.27671,-143.06006,-1,OK
554,-126.248886,-10.869253,3,OK
555,-10.156499,-187.10944,10,OK
557,6.5432305,129.04094,9,OK
558,-131.28801,-8.663166,3,OK
559,-2.2893066,-181.25334,-1,OK
560,-2.2893066,-181.25334,-1,OK
561,34.295925,26.305561,9,OK
563,-2.071359,129.05122,9,OK
565,-63.080105,47.0048,11,OK
567,-48.809772,4.212104,2,OK
568,-68.89025,42.11669,11,OK
570,-29.195057,51.167168,-1,OK
572,-68.89025,42.11669,11,OK
574,-63.080105,47.0048,11,OK
577,-68.89025,42.11669,11,OK
580,-29.195057,51.167168,-1,OK
582,-29.195057,51.167168,-1,OK
584,-68.89025,42.11669,11,OK
586,-63.080105,47.0048,11,OK
588,-29.195057,51.167168,-1,OK
590,-29.195057,51.167168,-1,OK
592,-63.080105,47.0048,11,OK
594,-127.644165,-17.165339,3,OK
595,-74.322105,55.348854,-1,OK
596,0.8039003,142.91273,9,OK
600,-11.538029,136.63358,9,OK
601,-74.322105,55.348854,-1,OK
603,-74.322105,55.348854,-1,OK
605,-14.473003,133.60498,9,OK
606,-74.322105,55.348854,-1,OK
620,-84.79307,-138.30392,-1,OK
636,-88.66391,-153.91925,13,OK
637,-88.66391,-153.91925,13,OK
638,-127.0565,-147.65103,-1,OK
639,-88.66391,-153.91925,13,OK
640,-88.66391,-153.91925,13,OK
641,-127.0565,-147.65103,-1,OK
642,-88.66391,-153.91925,13,OK
643,-88.66391,-153.91925,13,OK
644,-88.66391,-153.91925,13,OK
645,23.806046,21.146296,9,OK
646,-84.47035,-158.78212,13,OK
655,-84.47035,-158.78212,13,OK
656,-88.66391,-153.91925,13,OK
657,-84.47035,-158.78212,13,OK
664,-132.66833,-13.709383,3,OK
665,-10.156499,-187.10944,10,OK
667,1.8598851,117.44568,9,OK
670,-7.3416348,136.51683,9,OK
671,-8.804262,129.85538,9,OK
672,-19.224884,133.73639,9,OK
673,-8.804262,129.85538,9,OK
674,-8.804262,129.85538,9,OK
676,-22.55095,120.15223,9,OK
678,-13.731512,116.84932,9,OK
680,-8.804262,129.85538,9,OK
682,-8.804262,129.85538,9,OK
684,-4.5296755,119.51388,9,OK
686,-2.8636646,134.17575,9,OK
689,-2.6040955,75.48527,-1,OK
690,6.7571616,78.36952,-1,OK
691,2.8533504,77.687515,-1,OK
693,-15.944299,128.77599,9,OK
694,13.078466,125.987465,-1,OK
695,9.0231085,143.69565,-1,OK
696,2.8533504,77.687515,-1,OK
698,-65.36394,94.016174,9,OK
699,-65.36394,94.016174,9,OK
701,-2.6321142,113.545265,9,OK
702,-12.968133,141.09315,9,OK
704,-3.7394083,125.07103,9,OK
706,-9.9316635,119.20155,9,OK
708,-60.479,88.34609,9,OK
709,-60.479,88.34609,9,OK
710,-63.080105,47.0048,11,OK
711,-12.807685,111.727356,9,OK
713,-65.36394,94.016174,9,OK
715,-31.593723,144.15291,9,OK
716,-28.869528,147.38414,9,OK
717,-28.869528,147.38414,9,OK
719,-28.869528,147.38414,9,OK
734,-117.897675,-173.4852,-1,OK
735,-117.897675,-173.4852,-1,OK
