,DET1.APOTYPE.VAL,DET1.APOX.VAL,DET1.APOY.VAL,DET1.DIT,DET1.INTERFX.VAL,DET1.INTERFY.VAL,DET1.NCOHERENT.VAL,DET1.NINCOHERENT.VAL,DET1.SNRLIMIT.VAL,DET1.WLMAXCUT.VAL,DET1.WLMINCUT.VAL,DET2.APOTYPE.VAL,DET2.APOX.VAL,DET2.APOY.VAL,DET2.INTERFX.VAL,DET2.INTERFY.VAL,DET2.NCOHERENT.VAL,DET2.NINCOHERENT.VAL,DET2.SNRLIMIT.VAL,DET2.WLMAXCUT.VAL,DET2.WLMINCUT.VAL,INS.SFL.NAME,INS.SFN.NAME,SEQ.DIL.WL0,SEQ.FRINGES.DURATION,SEQ.FRINGES.NCYCLES,SEQ.OPDM.L.WLMAX,SEQ.OPDM.N.WLMAX,SEQ.PHOTO.DURATION,SEQ.SKY.DURATION,SEQ.SKY.OFFS.ALPHA,SEQ.SKY.OFFS.DELTA,TEL.CHOP.FREQ,TEL.CHOP.POSANG,TEL.CHOP.PVRATIO,TEL.CHOP.THROW
167,0.0,512.0,512.0,0.075,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
169,0.0,512.0,512.0,0.075,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
171,0.0,512.0,512.0,0.075,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
189,0.0,512.0,512.0,0.111,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,60.0,2.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
191,0.0,512.0,512.0,0.075,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
193,0.0,512.0,512.0,0.075,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
195,0.0,512.0,512.0,0.075,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
197,0.0,512.0,512.0,0.075,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
222,0.0,512.0,512.0,0.111,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,60.0,2.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
224,0.0,512.0,512.0,0.075,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
226,0.0,512.0,512.0,0.075,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
228,0.0,512.0,512.0,0.075,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
266,0.0,512.0,512.0,0.012,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,10.0,1.0,4.0,13.0,10.0,100.0,1.0,15.0,0.5,0.0,1.0,4.5
267,0.0,512.0,512.0,0.012,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,10.0,1.0,4.0,13.0,15.0,20.0,1.0,15.0,0.5,0.0,1.0,4.5
268,0.0,512.0,512.0,0.012,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,15.0,1.0,4.0,13.0,12.0,10.0,1.0,15.0,0.5,0.0,1.0,4.5
270,0.0,512.0,512.0,0.012,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,15.0,1.0,4.0,13.0,12.0,10.0,1.0,15.0,0.5,0.0,1.0,4.5
271,0.0,512.0,512.0,0.075,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,10.0,1.0,4.0,13.0,10.0,10.0,1.0,15.0,0.5,0.0,1.0,4.5
272,0.0,512.0,512.0,0.075,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,10.0,1.0,4.0,13.0,10.0,15.0,1.0,15.0,0.5,0.0,1.0,4.5
273,0.0,512.0,512.0,0.075,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,15.0,1.0,4.0,13.0,20.0,10.0,1.0,15.0,0.5,0.0,1.0,4.5
