,DET1.APOTYPE.VAL,DET1.APOX.VAL,DET1.APOY.VAL,DET1.DIT,DET1.INTERFX.VAL,DET1.INTERFY.VAL,DET1.NCOHERENT.VAL,DET1.NINCOHERENT.VAL,DET1.SNRLIMIT.VAL,DET1.WLMAXCUT.VAL,DET1.WLMINCUT.VAL,DET2.APOTYPE.VAL,DET2.APOX.VAL,DET2.APOY.VAL,DET2.INTERFX.VAL,DET2.INTERFY.VAL,DET2.NCOHERENT.VAL,DET2.NINCOHERENT.VAL,DET2.SNRLIMIT.VAL,DET2.WLMAXCUT.VAL,DET2.WLMINCUT.VAL,INS.SFL.NAME,INS.SFN.NAME,SEQ.DIL.WL0,SEQ.FRINGES.DURATION,SEQ.FRINGES.NCYCLES,SEQ.OPDM.L.WLMAX,SEQ.OPDM.N.WLMAX,SEQ.PHOTO.DURATION,SEQ.SKY.DURATION,SEQ.SKY.OFFS.ALPHA,SEQ.SKY.OFFS.DELTA,TEL.CHOP.FREQ,TEL.CHOP.POSANG,TEL.CHOP.PVRATIO,TEL.CHOP.THROW
2914,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,,,3.5,,,4.0,13.0,,,1.0,15.0,,,,
3089,0.0,512.0,512.0,,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,,,3.5,,,4.0,13.0,,,1.0,15.0,1.0,0.0,1.0,4.0
3090,0.0,512.0,512.0,0.075,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,1.0,0.0,1.0,4.0
3193,0.0,512.0,512.0,0.075,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,1.0,0.0,1.0,4.0
3253,0.0,512.0,512.0,0.075,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,1.0,0.0,1.0,4.0
3534,0.0,512.0,512.0,0.111,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,1.0,0.0,1.0,4.0
3693,0.0,512.0,512.0,10.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,4.05,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,1.0,0.0,1.0,4.0
3884,0.0,512.0,512.0,0.075,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,1.0,0.0,1.0,4.0
3946,0.0,512.0,512.0,0.075,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,1.0,0.0,1.0,4.5
3948,0.0,512.0,512.0,0.075,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,1.0,0.0,1.0,4.5
