,DET1.APOTYPE.VAL,DET1.APOX.VAL,DET1.APOY.VAL,DET1.DIT,DET1.INTERFX.VAL,DET1.INTERFY.VAL,DET1.NCOHERENT.VAL,DET1.NINCOHERENT.VAL,DET1.SNRLIMIT.VAL,DET1.WLMAXCUT.VAL,DET1.WLMINCUT.VAL,DET2.APOTYPE.VAL,DET2.APOX.VAL,DET2.APOY.VAL,DET2.DIT,DET2.INTERFX.VAL,DET2.INTERFY.VAL,DET2.NCOHERENT.VAL,DET2.NINCOHERENT.VAL,DET2.SNRLIMIT.VAL,DET2.WLMAXCUT.VAL,DET2.WLMINCUT.VAL,INS.SFL.NAME,INS.SFN.NAME,SEQ.DARK.DURATION,SEQ.DIL.WL0,SEQ.FRINGES.DURATION,SEQ.FRINGES.NCYCLES,SEQ.OPDM.L.WLMAX,SEQ.OPDM.N.WLMAX,SEQ.OPDM.NSTEPS,SEQ.PHOTO.DURATION,SEQ.SKY.DURATION,TEL.CHOP.FREQ,TEL.CHOP.POSANG,TEL.CHOP.PVRATIO,TEL.CHOP.THROW
842,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.03,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,10.0,3.5,20.0,1.0,4.0,13.0,10.0,10.0,5.0,0.5,0.0,1.0,5.0
843,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.03,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,10.0,3.5,20.0,1.0,4.0,13.0,10.0,10.0,5.0,0.5,0.0,1.0,5.0
845,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.03,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,10.0,3.5,20.0,1.0,4.0,13.0,10.0,10.0,10.0,0.5,0.0,1.0,5.0
903,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
964,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
1010,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
1035,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
1041,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
1052,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
1059,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
